mountian_id,mountian_similarity,mountain_tokens
0,0,"['시설', '철쭉', '내지', '순우리말', '노송', '산맥', '춘천시', '림', '가지', '팔', '시야', '육산', '산자락', '스키장', '서식', '석간수', '더미', '발걸음', '노적가리', '소양호', '일부', '자연', '입구', '신비', '북서쪽', '유람선', '어름', '물노리', '전망대', '내륙', '산초나무', '따위', '아래쪽', '관광지', '진달래', '산기슭', '모양', '폭포', '봉우리', '참나무', '능선', '동면', '산록', '수종인', '약', '강의', '해발', '마음', '유래', '일품', '고깔', '피나물', '주종', '소양강', '산행', '사람', '비경', '화촌면', '형태', '대룡산', '거대', '바위', '봉산', '통나무집', '배', '광산', '맥', '계곡', '정상부', '소양댐', '애기똥풀', '조망', '개장', '북한', '체육', '절벽', '정상', '지류', '낟가리', '풍경', '수원', '水', '협곡', '향토', '하산', '계단식', '홍천군', '등산객', '곡식', '편의', '고개', '강원', '향로봉', '부근', '사용', '숲', '기암괴석', '백두대간', '땔나무', '물소리', '양지꽃', '야생화', '內地', '수타사', '재미', '단', '분지', '야영장', '고산준령', '뜻', '온천', '발', '싸리나무', '주변', '휴양림', '용소', '북산면', '휴영', '한눈', '산봉', '편', '홍천', '발원', '두릅나무', '산세', '강원도', '관목', '두촌면', '선착장', '홍천강']"
0,79,"['외', '만주바람꽃', '코스', '손', '겨울', '홀', '맛', '바위', '입구', '릉', '가을', '단풍', '노송', '신록', '등산', '끝', '지역', '자락', '대도', '정상부', '바탕', '오남리', '국도', '북한', '공원', '휴일', '육산', '청소년', '야영장', '마석', '식물', '화도읍', '手', '눈', '저건', '수련장', '금지', '나무숲', '군립', '정상', '당일', '스키장', '풍경', '서종면', '강변길', '笏', '서울', '이성계', '북방', '심신', '식생', '평내', '양평', '유래', '만', '산세', '長', '군계일학', '취사', '설경', '형세', '슬픔', '사람', '봄철', '서북쪽', '청산', '숲', '아파트', '나무']"
0,8,"['날개', '자장율사', '피서지', '철쭉', '순간', '손', '동부', '감정사', '노송', '진신', '노천리', '사례', '암반', '영취산', '산자락', '보물', '매료', '소용돌이', '기슭', '군업', '봄', '영기', '꼬리', '자산', '연상', '일원', '모양', '폭포', '가을철', '능선', '사', '무릎', '동면', '마음', '물', '비경', '공작', '화촌면', '품', '폭', '겨울', '바위', '양쪽', '서남쪽', '들판', '안공', '계곡', '정상부', '사리', '물받이', '발견', '정상', '봉정', '풍경', '유서', '동물', '홍천군', '등산객', '머리', '작재', '길이', '절', '월인석보', '봉과', '단풍', '대표', '전역', '수타사', '수타', '경치', '암벽', '건', '동양화', '눈', '여름철', '풍치', '한눈', '홍천', '以西', '산세', '장관', '연출', '강원도', '갖가지', '내삼포리', '산줄기', '홍천강']"
0,44,"['경기', '포천군', '화악산', '화천군', '사단장', '바위', '쉼터', '가을', '단풍', '타운', '일동', '주말', '포장', '광덕산', '자랑', '수량', '등산', '지역', '맥', '가지', '계곡', '백운', '최고', '계곡미', '경기도', '등반', '봉인', '연상', '포천', '광덕', '사내면', '백운산', '설', '모양', '번', '온천', '나라', '카라멜', '정상', '운산', '가족', '이동면', '일명', '남한', '이용', '적격', '도로', '산자수명', '동남쪽', '해발', '졸음', '마음', '영평', '유래', '산세', '운전병', '강원도', '절경', '머리', '광양', '고개', '온천욕', '낙타', '산행', '사람', '함양', '관할', '카멜', '팔경']"
0,84,"['삼각산', '경기', '시설', '정태춘', '조선', '노래', '춘', '대상', '삼림욕장', '바위', '릉', '거리', '수련', '체육', '야영장', '동천', '준걸', '민주', '계곡', '정상부', '종천', '조망', '터', '국도', '수림', '발길', '전설', '북한', '성리', '새김', '조성', '명봉', '산악회', '불편', '직전', '마석', '육산', '파노라마', '대성리', '수동', '이두', '지명', '유원지', '화도읍', '조', '내', '정상', '북동쪽', '휴양림', '가평', '축', '일명', '산인', '군계', '이용', '놀이', '줄기', '령', '묘미', '편의', '원이름', '조종', '고개', '도봉산', '일제', '동북쪽', '장', '휴계소', '산행', '강', '자연', '북부', '사람', '교통', '심신']"
0,47,"['철쭉', '돌', '공산', '용연사', '온화', '옥포면', '팔', '터', '시야', '표시', '대견', '육산', '산자락', '경상북도', '만', '규모', '전망대', '봄', '가을', '흑산', '진달래', '돌무더기', '용문사', '절정', '최고봉', '앞산', '군데', '모양', '달성군', '산재', '아버지', '능선', '초원', '대건', '낙동강', '관기', '품', '바위', '거대', '암괴', '정상부', '평', '설치', '꽃바다', '부채꼴', '절벽', '바다', '밀집', '대구', '화강암', '조화', '팔각정', '정상', '밑', '풍경', '말', '코끼리바위', '스님', '중순', '군락', '손가락', '부근', '명품', '봄철', '나무', '억새', '잡목', '제', '봉과', '청도군', '광역시', '사찰', '경치', '분지', '하순', '락지', '참꽃', '어머니', '나라', '안산암', '싸리나무', '주변', '유가사', '산세', '형제', '안내', '견사']"
0,93,"['릉', '관청리', '가지', '군부대', '육산', '춘천', '금지', '가평', '분기점', '만', '장엄', '삼형', '대신', '입구', '조무락골', '악', '성산', '탕', '가슴', '지역', '무악', '정맥', '어깨', '계곡미', '최고봉', '경기도', '만족', '일원', '폭포', '능선', '서울', '알프스', '물', '화악', '산행', '강', '촉대봉', '부여', '양감', '경기', '석룡산', '응봉', '제봉', '셈', '바위', '제일봉', '이후', '서남쪽', '계곡', '동북부', '정상부', '한북정맥', '매봉', '북한', '쌍룡', '달음', '주천', '정상', '군사', '출입', '동남쪽', '분위기', '형성', '승원', '곁가지', '옥녀', '화악산', '덩치', '산군', '오림', '거리', '덩어리', '목동', '재미', '상고대', '와폭', '주변', '복호', '발원', '사실', '점', '도마치봉', '강원도', '큰골', '역동', '금만', '산줄기', '마루', '외관']"
0,7,"['겨울철', '산맥', '시간', '모산', '운두령', '북서풍', '대산', '산자락', '지리', '번', '약수', '인기', '이승복', '전국', '표고', '피부병', '특효', '지릉', '병', '전망대', '진가', '적설량', '명성', '가을', '차', '골짜기', '산기슭', '비로봉', '대륙', '최고봉', '한라', '능선', '위봉', '무릎', '내면', '남한', '제외', '사랑', '발휘', '산행', '강', '남한강', '겨울', '위장', '등산', '배', '제공', '덕유산', '연결', '북한', '방아다리', '차이', '북동쪽', '정상', '무렵', '초보', '예상', '빛', '이웃', '차량', '홍천군', '설악', '고개', '설경', '곁가지', '진부면', '평창군', '코스', '백두대간', '오', '단풍', '최고', '흥미', '행지', '이상', '적설', '눈', '보통', '효험', '영동', '가터', '사실', '고도', '산세', '메밀꽃', '연출', '강원도', '지방', '바닷바람']"
0,1,"['시설', '철쭉', '주산지', '안부인', '수목', '숙암', '중왕산', '방면', '부삼', '고산', '시간', '府', '加里', '금지', '비', '채삼', '표', '경사도', '산약', '각종', '회동리', '자연', '자생', '입구', '조선', '역활', '封標', '정선군', '유일', '소요', '江陵', '능선', '군립', '잣나무', '과언', '項', '주산', '일제', '단풍나무', '산행', '난', '국내', '계획', '등산', '정선아리랑', '산삼', '설치', '조성', '산로', '역할', '식물', '밀집', '왕산', '王', '蔘', '마항', '상봉', '정선', '편의', '남동쪽', '왕', '평창군', '고장', '지붕', '하봉', '강릉', '대목', '공원', '고산준령', '馬', '뜻', '구역', '휴양림', '王山', '산봉', '일반인', '개발', '산세', '강원도', '구간', '초', '주목', '가리']"
0,69,"['피서지', '기암괴석', '방화동', '백두대간', '화장실', '약수터', '억새', '기봉', '가을', '단풍', '첫머리', '영산', '길목', '자랑', '산맥', '금남정맥', '관광지', '뻣', '계곡', '기운', '경관', '점유', '풍요', '정맥', '금강', '국토', '원시', '수림', '덕유산', '함양군', '전라도', '공원', '군데', '폭포', '영취산', '억새밭', '섬진강', '전체', '조산', '들머리', '번', '충청도', '강산', '호남', '능선', '군립', '경계선', '호서', '지지', '연못', '용소', '장수군', '덕산', '남덕유산', '절경', '산중', '지방', '여름', '안내도', '등산로', '종산', '지구', '입구', '숲']"
